trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
1	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
2	3	2	FALSE	1	TRUE	switched	3	TRUE	won
3	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
4	3	2	FALSE	1	TRUE	switched	3	TRUE	won
5	3	1	FALSE	2	TRUE	switched	3	TRUE	won
6	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
7	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
8	1	3	FALSE	2	TRUE	switched	1	TRUE	won
9	3	1	FALSE	2	TRUE	switched	3	TRUE	won
10	2	1	FALSE	3	TRUE	switched	2	TRUE	won
11	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
12	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
13	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
14	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
15	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
16	3	1	FALSE	2	TRUE	switched	3	TRUE	won
17	2	1	FALSE	3	TRUE	switched	2	TRUE	won
18	1	3	FALSE	2	TRUE	switched	1	TRUE	won
19	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
20	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
21	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
22	2	1	FALSE	3	TRUE	switched	2	TRUE	won
23	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
24	1	2	FALSE	3	TRUE	switched	1	TRUE	won
25	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
26	3	2	FALSE	1	TRUE	switched	3	TRUE	won
27	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
28	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
29	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
30	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
31	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
32	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
33	2	1	FALSE	3	TRUE	switched	2	TRUE	won
34	3	2	FALSE	1	TRUE	switched	3	TRUE	won
35	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
36	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
37	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
38	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
39	2	3	FALSE	1	TRUE	switched	2	TRUE	won
40	2	1	FALSE	3	TRUE	switched	2	TRUE	won
41	2	1	FALSE	3	TRUE	switched	2	TRUE	won
42	3	1	FALSE	2	TRUE	switched	3	TRUE	won
43	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
44	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
45	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
